gen,sid,seed,u_star,realized_improvement,realized_harm
motiongpt,001808,20293608,0.0,0.0,0
motiongpt,001808,20293609,0.0,0.0,0
motiongpt,001808,20293610,0.0,0.0,0
motiongpt,001888,20294608,0.5,0.5569,0
motiongpt,001888,20294609,0.0,0.0,0
motiongpt,001888,20294610,0.5,-0.0058,0
motiongpt,001976,20295608,0.0,0.0,0
motiongpt,001976,20295609,1.0,0.0959,0
motiongpt,001976,20295610,1.0,0.453,0
motiongpt,002192,20298608,0.0,0.0,0
motiongpt,002192,20298609,0.0,0.0,0
motiongpt,002192,20298610,0.0,0.0,0
motiongpt,002522,20303608,0.75,-0.3855,1
motiongpt,002522,20303609,0.75,0.0173,0
motiongpt,002522,20303610,0.75,-0.1188,1
motiongpt,002661,20308608,0.5,0.3116,0
motiongpt,002661,20308609,0.0,0.0,0
motiongpt,002661,20308610,0.0,0.0,0
motiongpt,002761,20310608,0.0,0.0,0
motiongpt,002761,20310609,0.0,0.0,0
motiongpt,002761,20310610,0.0,0.0,0
motiongpt,002781,20312608,0.0,0.0,0
motiongpt,002781,20312609,0.0,0.0,0
motiongpt,002781,20312610,0.0,0.0,0
motiongpt,003020,20316608,0.25,0.0939,0
motiongpt,003020,20316609,0.0,0.0,0
motiongpt,003020,20316610,0.0,0.0,0
motiongpt,003171,20317608,0.0,0.0,0
motiongpt,003171,20317609,0.0,0.0,0
motiongpt,003171,20317610,0.0,0.0,0
motiongpt,003224,20319608,0.0,0.0,0
motiongpt,003224,20319609,0.0,0.0,0
motiongpt,003224,20319610,0.0,0.0,0
motiongpt,003423,20323608,1.0,-0.2978,1
motiongpt,003423,20323609,1.0,-0.2978,1
motiongpt,003423,20323610,1.0,-0.2978,1
motiongpt,003481,20324608,0.5,-0.1165,1
motiongpt,003481,20324609,0.5,0.2612,0
motiongpt,003481,20324610,0.5,-0.1165,1
motiongpt,003539,20326608,0.0,0.0,0
motiongpt,003539,20326609,0.0,0.0,0
motiongpt,003539,20326610,0.0,0.0,0
motiongpt,003638,20328608,0.5,0.0456,0
motiongpt,003638,20328609,0.25,0.0113,0
motiongpt,003638,20328610,0.0,0.0,0
motiongpt,003771,20330608,0.0,0.0,0
motiongpt,003771,20330609,0.0,0.0,0
motiongpt,003771,20330610,0.25,-0.0113,0
motiongpt,003814,20331608,0.0,0.0,0
motiongpt,003814,20331609,0.0,0.0,0
motiongpt,003814,20331610,0.0,0.0,0
motiongpt,003831,20333608,0.0,0.0,0
motiongpt,003831,20333609,0.0,0.0,0
motiongpt,003831,20333610,0.0,0.0,0
motiongpt,003942,20335608,0.0,0.0,0
motiongpt,003942,20335609,0.0,0.0,0
motiongpt,003942,20335610,0.0,0.0,0
motiongpt,003962,20336608,0.0,0.0,0
motiongpt,003962,20336609,0.0,0.0,0
motiongpt,003962,20336610,0.25,-0.0424,0
motiongpt,004037,20337608,0.0,0.0,0
motiongpt,004037,20337609,0.0,0.0,0
motiongpt,004037,20337610,0.0,0.0,0
motiongpt,004063,20338608,0.0,0.0,0
motiongpt,004063,20338609,0.0,0.0,0
motiongpt,004063,20338610,0.0,0.0,0
motiongpt,004117,20340608,0.5,-0.0127,0
motiongpt,004117,20340609,0.5,-0.0127,0
motiongpt,004117,20340610,0.0,0.0,0
motiongpt,004293,20345608,0.0,0.0,0
motiongpt,004293,20345609,0.0,0.0,0
motiongpt,004293,20345610,0.0,0.0,0
motiongpt,004320,20347608,0.0,0.0,0
motiongpt,004320,20347609,0.0,0.0,0
motiongpt,004320,20347610,0.0,0.0,0
motiongpt,004350,20348608,0.0,0.0,0
motiongpt,004350,20348609,0.0,0.0,0
motiongpt,004350,20348610,0.0,0.0,0
motiongpt,004438,20350608,0.0,0.0,0
motiongpt,004438,20350609,0.0,0.0,0
motiongpt,004438,20350610,0.25,-0.1084,1
motiongpt,004518,20352608,0.0,0.0,0
motiongpt,004518,20352609,0.0,0.0,0
motiongpt,004518,20352610,0.0,0.0,0
motiongpt,004601,20353608,0.5,0.1003,0
motiongpt,004601,20353609,0.5,0.1003,0
motiongpt,004601,20353610,0.0,0.0,0
motiongpt,004645,20355608,0.0,0.0,0
motiongpt,004645,20355609,0.0,0.0,0
motiongpt,004645,20355610,0.0,0.0,0
motiongpt,004724,20359608,0.0,0.0,0
motiongpt,004724,20359609,1.0,0.0044,0
motiongpt,004724,20359610,0.0,0.0,0
motiongpt,004733,20360608,1.0,0.1665,0
motiongpt,004733,20360609,1.0,0.0911,0
motiongpt,004733,20360610,1.0,0.103,0
motiongpt,004852,20362608,0.0,0.0,0
motiongpt,004852,20362609,0.0,0.0,0
motiongpt,004852,20362610,0.0,0.0,0
motiongpt,004854,20363608,0.0,0.0,0
motiongpt,004854,20363609,0.25,-0.0222,0
motiongpt,004854,20363610,0.75,-0.0311,0
motiongpt,004864,20364608,0.0,0.0,0
motiongpt,004864,20364609,0.0,0.0,0
motiongpt,004864,20364610,0.0,0.0,0
motiongpt,004870,20365608,0.0,0.0,0
motiongpt,004870,20365609,0.25,0.1034,0
motiongpt,004870,20365610,0.5,0.0264,0
motiongpt,004975,20367608,0.0,0.0,0
motiongpt,004975,20367609,0.5,0.0579,0
motiongpt,004975,20367610,0.0,0.0,0
motiongpt,005087,20372608,0.0,0.0,0
motiongpt,005087,20372609,0.0,0.0,0
motiongpt,005087,20372610,0.0,0.0,0
motiongpt,005278,20374608,0.0,0.0,0
motiongpt,005278,20374609,0.5,0.5064,0
motiongpt,005278,20374610,0.25,0.0648,0
