gen,sid,seed,split,stepping_speed,body_speed_shortfall,foot_sliding,ground_contact_ratio,contact_streak,path_straightness,duration_sec,wants_to_travel,wants_to_stay,intent_unclear,is_mdm,is_motiongpt,is_momask,mm_u000,mm_u025,mm_u050,mm_u075,mm_u100,mm_u125,mm_u150,mm_u200
mdm,001888,20294608,holdout,0.027504,0.018531,0.006445033528631822,0.3981,0.26546,0.9993,5.4,1,0,0,1,0,0,4.2711,4.1855,4.0817,4.0243,4.0431,4.0929,4.1791,4.4789
mdm,001888,20294609,holdout,0.025529,0.016453,0.005471312752325031,0.3009,0.30093,0.9989,5.4,1,0,0,1,0,0,3.9213,3.7426,3.5904,3.6011,3.7087,3.8821,4.137,4.9269
mdm,001888,20294610,holdout,0.032358,0.023162,0.004173811672763722,0.2917,0.11667,0.9974,5.4,1,0,0,1,0,0,4.0505,3.9647,3.9039,3.9425,4.0777,4.2824,4.5506,5.3147
mdm,001976,20295608,holdout,0.048522,0.038605,0.01716013256169355,0.6597,0.06944,0.9965,7.2,0,0,1,1,0,0,8.2441,7.9347,7.4906,6.9974,6.5484,6.188,5.895,5.5772
mdm,001976,20295609,holdout,0.057322,0.046997,0.020901696688147876,0.6146,0.06146,0.9957,7.2,0,0,1,1,0,0,8.3956,8.0758,7.5699,7.064,6.5664,6.102,5.7533,5.4325
mdm,001976,20295610,holdout,0.048848,0.038797,0.01640407405081437,0.6042,0.06715,0.9976,7.2,0,0,1,1,0,0,8.362,8.199,7.7485,7.1881,6.5914,6.1137,5.7708,5.2485
mdm,002009,20296608,calib,0.003169,-0.005129,0.009355483418464289,1.0,1.0,1.0,3.2,0,1,0,1,0,0,8.9881,9.0331,9.1496,9.2709,9.3811,9.4766,9.6395,10.053
mdm,002009,20296609,calib,0.001411,-0.006916,0.007409811569582915,1.0,1.0,1.0,3.2,0,1,0,1,0,0,2.3865,2.4521,2.5195,2.535,2.5077,2.4413,2.3425,2.0542
mdm,002009,20296610,calib,0.000981,-0.007341,0.00819242811980987,1.0,1.0,1.0,3.2,0,1,0,1,0,0,2.8721,2.9899,3.101,3.1538,3.1604,3.1387,3.0788,2.9365
mdm,002171,20297608,calib,0.004392,-0.003922,0.008321722391375137,1.0,1.0,0.9999,9.8,0,1,0,1,0,0,2.0953,2.0734,2.1155,2.1735,2.175,2.1326,2.0855,2.0058
